tExp3,uExp3,iExp3,tExp4,uExp4,iExp4,tExp5,uExp5,iExp5,tExp6,uExp6,iExp6
35,3.1532782,-0.02812,35,3.1795994,-0.02884,35,3.1928786,-0.020186667,35,3.1303629,-0.018746667
35.2,3.1457008,-0.02596,35.2,3.1718497,-0.024513333,35.2,3.1851612,-0.023073333,35.2,3.1210503,-0.020913333
35.4,3.1382097,-0.023793333,35.4,3.1642616,-0.023073333,35.4,3.1775192,-0.023073333,35.4,3.111964,-0.020186667
35.6,3.1308695,-0.02596,35.6,3.1567813,-0.023073333,35.6,3.1699742,-0.02596,35.6,3.1029962,-0.02596
35.8,3.1236371,-0.02812,35.8,3.1493872,-0.02812,35.8,3.1626017,-0.024513333,35.8,3.0941901,-0.019466667
36,3.1165556,-0.02668,36,3.1421331,-0.02812,36,3.1552938,-0.022353333,36,3.0856104,-0.021633333
36.2,3.1095496,-0.023793333,36.2,3.13503,-0.0274,36.2,3.1480722,-0.023073333,36.2,3.0771385,-0.02668
36.4,3.1025651,-0.023073333,36.4,3.1280132,-0.025233333,36.4,3.140969,-0.02596,36.4,3.0687959,-0.020186667
36.6,3.0956991,-0.018026667,36.6,3.1211365,-0.023793333,36.6,3.1339522,-0.023073333,36.6,3.0606042,-0.022353333
36.8,3.0889733,-0.022353333,36.8,3.1142813,-0.016586667,36.8,3.1270647,-0.024513333,36.8,3.0525849,-0.019466667
37,3.0824523,-0.02668,37,3.1075016,-0.024513333,37,3.1203173,-0.023073333,37,3.0446735,-0.02812
37.2,3.0759421,-0.025233333,37.2,3.1008513,-0.02596,37.2,3.1136454,-0.023793333,37.2,3.0369668,-0.018746667
37.4,3.0695612,-0.023793333,37.4,3.0942656,-0.022353333,37.4,3.1070813,-0.023793333,37.4,3.0293033,-0.02596
37.6,3.0633204,-0.021633333,37.6,3.0878092,-0.024513333,37.6,3.1006249,-0.022353333,37.6,3.0218014,-0.024513333
37.8,3.0571012,-0.025233333,37.8,3.0814283,-0.0274,37.8,3.0942009,-0.021633333,37.8,3.0143534,-0.021633333
38,3.0509035,-0.02668,38,3.075166,-0.02596,38,3.0879062,-0.02668,38,3.0070564,-0.022353333
38.2,3.0448459,-0.023073333,38.2,3.0689468,-0.018026667,38.2,3.0816762,-0.025233333,38.2,2.9999641,-0.023073333
38.4,3.0388746,-0.025233333,38.4,3.0628677,-0.0274,38.4,3.0756079,-0.023073333,38.4,2.9929472,-0.02596
38.6,3.0330219,-0.021633333,38.6,3.0568425,-0.02668,38.6,3.0695827,-0.020913333,38.6,2.9860598,-0.022353333
38.8,3.0271907,-0.018746667,38.8,3.0509466,-0.022353333,38.8,3.0636653,-0.024513333,38.8,2.9793124,-0.023073333
39,3.0214565,-0.023793333,39,3.0450939,-0.020913333,39,3.0577802,-0.023793333,39,2.9726081,-0.023073333
39.2,3.0158301,-0.025233333,39.2,3.0393489,-0.025233333,39.2,3.0520029,-0.023073333,39.2,2.966044,-0.02668
39.4,3.010236,-0.024513333,39.4,3.0337225,-0.025233333,39.4,3.0463334,-0.022353333,39.4,2.9595445,-0.0274
39.6,3.0047821,-0.023793333,39.6,3.02815,-0.0274,39.6,3.0407178,-0.02596,39.6,2.9531097,-0.022353333
39.8,2.9992958,-0.02596,39.8,3.0226206,-0.02596,39.8,3.035156,-0.024513333,39.8,2.9468366,-0.024513333
40,2.9939497,-0.02668,40,3.0171451,-0.021633333,40,3.0297236,-0.020913333,40,2.940639,-0.020913333
40.2,2.9886897,-0.025233333,40.2,3.011745,-0.020186667,40.2,3.0242266,-0.020913333,40.2,2.9345164,-0.020186667
40.4,2.9834729,-0.023073333,40.4,3.0064097,-0.0274,40.4,3.0188697,-0.024513333,40.4,2.9284912,-0.021633333
40.6,2.9783315,-0.025233333,40.6,3.0012036,-0.025233333,40.6,3.0136744,-0.025233333,40.6,2.9225954,-0.023073333
40.8,2.9732872,-0.019466667,40.8,2.9960191,-0.021633333,40.8,3.0084791,-0.023793333,40.8,2.9167426,-0.023073333
41,2.9683506,-0.021633333,41,2.9909748,-0.025233333,41,3.0034132,-0.022353333,41,2.9110084,-0.02956
41.2,2.9634895,-0.024513333,41.2,2.9860166,-0.022353333,41.2,2.9983689,-0.024513333,41.2,2.9053389,-0.023073333
41.4,2.9586607,-0.020913333,41.4,2.9811124,-0.025233333,41.4,2.9934215,-0.022353333,41.4,2.899788,-0.025233333
41.6,2.9539181,-0.025233333,41.6,2.9762944,-0.018746667,41.6,2.9885496,-0.02956,41.6,2.8943232,-0.024513333
41.8,2.9491648,-0.021633333,41.8,2.9714548,-0.024513333,41.8,2.98371,-0.020913333,41.8,2.8889124,-0.017306667
42,2.9444546,-0.023073333,42,2.9666692,-0.02812,42,2.9788489,-0.02596,42,2.8836309,-0.021633333
42.2,2.9397982,-0.024513333,42.2,2.9619589,-0.022353333,42.2,2.9741171,-0.025233333,42.2,2.8783494,-0.02596
42.4,2.9352602,-0.023793333,42.4,2.9573457,-0.02812,42.4,2.9694608,-0.021633333,42.4,2.8731542,-0.023793333
42.6,2.9306793,-0.022353333,42.6,2.9528079,-0.024513333,42.6,2.9649122,-0.025233333,42.6,2.868002,-0.023793333
